job,description
Application Architect,"Application architects provide expertise, direction, and assistance in application architectural consulting to technical analysts, application engineers, senior database analysts, and other systems architects. A bachelor’s degree in computer science, business administration, or a related field and at least eight years of relevant experience are generally required for this position. These architects are tasked with building quality applications by creating well-designed architectures, writing clean code, and implementing ongoing integration and unit test code coverage. Applicants may also need years of experience in Java, Spring, JUnit, Log4j, Gradle, and application development itself. Strong verbal and written communication skills are important in this position to work well with team members of various degrees of technical depth and knowledge, and some may also be tasked with mentoring others. Applicants must also be experienced, knowledgeable, and able to work independently as well as on teams.  Read less"
Application Developer,"Application developers help companies keep up with the latest technologies and developments on the web. As online technology becomes increasingly important, all types of businesses are seeking application developers--from banks to universities, news channels to hospitals. These applications (or apps) can be used on smartphones, computers, tablets and more. As such, application developers must be able to create, develop, manage and maintain new programs and software. These tasks require an excellent knowledge of programming, HTML, all sorts of developer software, in many cases Linus, and experience with relational databases. It is expected in most positions that application developers must be able to work quickly and meet deadlines. Working as a application developer will require collaboration with others in the web and sometimes IT department, so good people and communication skills are necessary as well. Application developers may also be responsible for managing a team, or being part of a team, so it is expected that one is eager and able to collaborate with others. Application developers should have at least an associate's or bachelor's degree in a design or an IT-related field. Some companies require a good degree of related work experience whereas some application developers can begin in an entry-level position working with teams of other developers.   Read less"
Application Support Analyst,"Application support analysts assist users of computer and mobile applications. They must be able to think creatively in order to implement improvements, and they may also be involved in installing new software and making updates. Software must be tested prior to being implemented and then re-tested periodically.  Problems may be detected from areas where users have consistently reported problems, or when users are unable to complete certain tasks. These analysts may receive inquiries from clients through chat, email, or phone, so customer service skills are beneficial in this position. Application support analysts may also create frequently-asked-questions (FAQ) lists and troubleshooting guides to minimize the number of inquiries made. Problems and bugs that are reported should be researched, followed by resolutions, and problems should then continue to be monitored. These support analysts perform many tasks independently, but it's also important that they work well with others in technical positions to successfully obtain conclusions. A bachelor's degree in computer science or a related field may be required for this position, and some employers require experience, which can be obtained from prior employment or internships, while others provide on-the-job training to qualified candidates. Application support analysts must also stay up-to-date with all changes in the technological field to keep their skills current.  Read less"
Applications Analyst%2C Software,"An software applications analyst designs, develops, and tests software programs for computer-based systems. The programs built by application analysts range from server applications to applications used by consumers (e.g., business productivity software solutions). Products that have not been released have different requirements than released products, since released products require regular maintenance, testing, and troubleshooting; if a client spots a bug, these analysts must work to immediately fix it. An analyst must be able to work on a team successfully, since many programs are highly complex and require many hours of development and testing. The job is primarily completed in an office setting, and there is little to no physical or manual labor required.   Application analysts generally have at least a bachelor’s degree in a relevant field such as computer science, mathematics, or engineering. More senior analysts may also have graduate degrees in computer science, mathematics, or business. The application analyst's hours may vary depending on the company and product life cycle. Most technology companies have established working hours (e.g., 9 a.m. to 5 p.m.). Some companies may require analysts to work longer or different hours; however, they may allow analysts to come in later than the typical beginning of the business day.   Read less"
Applications Development Director%2C IT %2F Information Systems,"Applications development directors for IT (information technology)/information systems are high-level managers that design and oversee IT projects that the organization will use to improve operations; they may also develop these applications for outside sales. The development director coordinates all team leads on the development project, as well as sets measurable goals and deadlines for these teams and stays in contact with team leads to ensure the project proceeds on schedule. These projects may be as diverse as developing a new intranet for company use and developing new reporting and assessment tools to be shared across departments and teams. The director is often responsible for continuing to improve applications that help maintain and improve the security of sensitive organizational emails.  Much of this job may include striking a balance among various teams in the organizations to ensure IT projects move forward in an efficient manner. The development director may also work with managers in quality assurance testing to ensure that new applications are working as intended, while also taking feedback to add features or functionality requested by these quality teams. To work as an applications development director for IT/information systems, a person typically must possess at least a bachelor’s degree in computer science or a related field; however, many companies prefer postbaccalaureate education as well. Experience in management for IT applications development and programming is generally required as well. The development director must have excellent communication and organizational skills.   Read less"
Applications Development Manager,"An applications development manager supervises applications developers who help create software. Given the number of industries employing software, applications development managers can be found in fields as diverse as healthcare, video game development, government, and military. An applications development manager can expect manager-level peers, entry-level subordinates, and director-level supervisors. Applications development managers may have customers and clients who are internal to the institutions that employ them, or they may have external customers and clients. The schedule of an applications development manager varies. Being both technical and business-minded in nature, an applications development manager must allocate a certain portion out of a weekly schedule for meetings. These meetings serve to help applications developers provide status updates to the manager, resolve issues, and keep all team members synchronized with the objectives created by the applications development manager. These managers typically must have a bachelor's degree in computer science, information technology, or another similar field of study. In addition to having technical skills, an applications development manager is expected to be effective at managing people; often, an advanced degree in business administration is strongly preferred. They must also have experience as both a member of technical staff and in technical management roles; on average, between five and 10 years of previous relevant experience is usually considered desirable.   Read less"
Applications Development Manager%2C Computer Software,"Application development managers for computer software are responsible for leading the development of computer software and managing a team of software development engineers. They work with the staff to motivate them and provide overall project direction, along with technical expertise when required.  Additionally, application development managers are also part of the hiring process, and they help train new hires as well.  The typical day for application development managers might include several project update meetings with development team members, providing updates for leaders within their organization, helping resolve technical and logistical problems, and managing direct reports. They work in an office environment, usually with a computer, throughout most of the day. The typical educational requirement for this position includes at least a bachelor’s degree in computer science or a related discipline; a master's degree may be required or preferred. Several years of software programming and leadership experience is needed as well. Experience in Visual Basic, ASP, C, C++, and/or Matlab may be needed based on the type of software development being conducted. Application development managers for computer software must have the ability to prioritize projects and deadlines on an ongoing basis, as there are often several competing development projects that all need attention. They must also have excellent interpersonal skills, demonstrating the ability to communicate regularly and promptly with the development team. They must be organized and detail-oriented to ensure that all deadlines and requirements are met.    Read less"
Applications Engineer,"Applications engineers work in many different industries and create, implement and maintain computer applications and software tailored to an organization's or customer's needs. This can be done by either modifying current software or completely designing a new project. Application engineers' work environments are generally in an office setting with much of their time spent in front of a computer testing and writing software. They may also work with teams of other engineers that break apart a large task into smaller ones for easier manageability, and they will usually have a manager that they work under. The industries that employ application engineers range from healthcare and finance, to sales and marketing, so there are many types of career options for application engineers. Banks hire them to create online banking applications for their customers and mechanical industries can hire them to program large machines for production.  Application engineers can be either self-employed or work for a company as part of a developing team. They are typically required to have at least a minimum of a bachelor's degree in a computer information technology area such as computer science, computer engineering or mechanical engineering, but many hiring companies value equivalent working experience in the field. They must have strong verbal, mathematical reasoning and problem solving skills, and there are also optional certifications for new engineers to help establish themselves in the field. They also will need to be well-versed in different programming languages like C, Java, C#, C++, Python, Ruby and JavaScript, and many jobs require their engineers to be familiar with the Linux platform.   Read less"
Applications Engineer%2C Electrical,"Electrical applications engineers are in charge of engineering-related aspects of the application and automation of electrical systems for their organization. They are responsible for creating applications for electrical projects, working with automation tools to develop effective electrical solutions that are scalable, and following strict safety regulations when installing and deploying electrical applications. They actively participate in the electrical design and building of power systems, as well as troubleshoot application scripts and improve efficiency by removing code that is not longer needed. Additionally, these engineers use a personal computer to develop electrical applications using project requirements based on their engineering expertise.  Electrical applications engineers participate in technical meetings to suggest changes to electrical specifications, as well as help with the development of technical documentation and create detailed reports based on their performance and findings. They share technical and applications data with other departments, take part in the electrical applications testing and maintenance, and provide support for troubleshooting activities. Electrical applications engineers coordinate equipment selection, installation, and performance review. They report their progress to the electrical applications supervisor in their department and escalate safety concern as required.  A bachelor's degree in electrical engineering or a related field is required for this position. Previous experience in an electrical engineering role is generally required or preferred, and industry certifications may be beneficial. Electrical applications engineers must be results-driven, have strong analytical skills, pay close attention to detail, and be able to multitask on a variety of projects. They need to be able to work well with other applications engineers in a team environment to reach all company objectives in a timely manner; however, they should also be able to perform effectively on their own with minimal supervision.   Read less"
Applications Engineering Manager,"Applications engineering managers are in charge of supporting the design and accuracy of engineering applications for their organization. They are responsible for development and for finding solutions to production and engineering issues as they arise, as well as work to overcome obstacles for application standard compliance. They verify application requirements and create complex reports based on their findings. In all tasks, they must follow strict regulations regarding safety policies. Other tasks performed by the applications engineering manager include supervising code development and design tasks, providing technical support to manufacturing and quality control staff, and working with other managers to achieve company objectives in a timely manner. They participate in training sessions and act as a coach for junior members and engineers. Additionally, applications engineering managers use their mechanical design knowledge to provide innovative solution in application development and implementation. They also provide volume schedules while leading a group of engineers, assist with product-planning activities to create more efficient tasks, and suggest changes to the production process.  A bachelor's degree in mechanical engineering, applications engineering, or a related field is necessary for this job. Previous experience in a managerial position is generally required. Industry and leadership certifications may be preferred. Applications engineering managers must have analytical skills that allow them to process large amounts of information and detect engineering patterns. In addition, they should have an advanced understanding of fluid dynamics and possess strong communication skills to interact with other engineers in their department.  Read less"
Applications Programmer,"Companies that develop and/or design software solutions or applications - whether they are used for business, entertainment, or some mix of both - are typical employers for applications programmers. The programmer performs coding, compiling, and even some initial testing when developing a new application or updating and revising an existing one. Typically, with larger companies, an application programmer works as part of a team in development, design, or web applications. The programmer must be proficient with a variety of computer languages, usually specified by the employer posting the job. For companies actively developing for platforms such as iOS or Android, an applications programmer also need to be familiar with the use of relevant development kits and tools as well. Applications programmers typically work off design and development documentation, schematics, and templates developed by team leads. They are expected to be able to meet deadlines and help troubleshoot any difficulties in the programming or development process. They also are expected to write “clean” code that adheres to best practices in programming and can be easily revised or built upon by other members of the team concurrently or in future versions. While some work in applications programming may be found based on the applicant's experience in the field, larger developers with contract work typically seek individuals with some certification and at least a bachelor's degree in computer science or a related field. Employers generally prefer applications programmers who have demonstrated an ability to get products to market and efficiently create code for specific platforms.   Read less"
Applications Systems Analyst,"Application systems analysts consult with management and help develop software to fit clients' needs. Application systems analyst must provide accurate, quality analyses of new program applications, as well as conduct testing, locate potential problems, and solve them in an efficient manner. Clients' needs may vary widely (for example, they may work in the medical field or in the securities industry), and staying up to date with software and technology trends in their field are essential.  Companies that require analysts are mostly in the fields of business, accounting, security, and scientific engineering. Application systems analysts work with other analysts and program designers, as well as managers and clients. These analysts generally work in an office setting, but there are exceptions when clients may need services at their office or home. Application systems analysts usually work full time, although they may need to work nights and weekends to resolve emerging issues or when deadlines approach; some companies may require analysts to be on call.  Analyst positions typically require at least a bachelor's degree in computer science or a related field, and a master's degree may be required. Previous information technology experience - preferably in a similar role - is required as well. Application systems analysts must have excellent communication skills, as they often work directly with clients and may be required to train other analysts. Flexibility, the ability to work well in teams, and the ability to work well with minimal supervision are also preferred traits.   Read less"
Applications Systems Analyst%2FProgrammer,"Applications systems analysts/programmers are in charge of analyzing and developing programming logic for software packages in their organization. They are responsible for coding specific requirements based on company objectives. Their main duties include testing a variety of computer programs and measuring their performance using advanced tools, as well as creating documentation based on their findings and integrating application components. They also recommend changes to improve systems, analyze business needs and translate them into product design, and write technical specifications for other analysts to use.   Applications systems analysts/programmers create initiatives to streamline processes and follow up after the testing phase. They should also actively participate in the design process and software development, as well as guide other programmers and collaborate in the security model tasks. They provide their expertise in implementing technical solutions to existing software issues, customize workflows, and improve validation and deployment efforts. They assist with capacity planning and follow strict performance standards, conduct planning and analysis activities, and create forecasts based on those projects.  A bachelor's degree in software development, computer science, or a related field is necessary for this position. In addition, experience in a similar position and industry certifications may be preferred. Applications systems analysts/programmers must have an extensive knowledge of programming languages and the ability to troubleshoot and identify memory-consuming processes. They should have excellent interpersonal skills to interact with members of their organization and share important information. Additionally, they need to possess advanced analytical skills to identify efficiency opportunities and improve product performance.  Read less"
Applications Systems and Program Manager,"Applications systems and program managers are responsible for managing the development of programs and applications systems for their organization. They are in charge of planning requirements with internal and external clients and managing projects through their entire life cycle. Some of the applications systems and program manager's main responsibilities include managing project schedules, identifying risks, creating budgets, and ensuring effective communication among relevant teams. They also track engineering schedules and budgets, as well as allocate resources as needed.  Applications systems and program managers must find and resolve any quality issues in the application systems, as well as track, identify, and mitigate system or component failures as they arise. One of their main duties include coaching new staff and participating in technical trainings for applications systems. In addition, they monitor compliance with the organization's information security policies and procedures to increase safety and privacy controls.  Applications systems and program managers are responsible for providing information to other relevant departments for the technology planning process. They supervise and mentor technical staff as well. A bachelor's degree in computer science or a related field is required for this position. Previous experience - including in a managerial capacity - is generally needed as well. Industry and leadership certifications may be beneficial. Applications systems and program managers need to have strong analytical, communication, and multitasking skills. They should work well in a team setting, as well as on their own with minimal supervision.  Read less"
Applications %26 Programming Supervisor,
Applications and Support Engineer,"An applications support engineer works with other members of an organization to ensure a satisfactory end-user experience for individuals using proprietary software.  At the beginning of projects, the applications support engineer must effectively communicate with clients to learn their core requirements and needs.  Using that knowledge, the applications support engineer then performs a variety of tasks to ensure that the application is satisfactory. They develop a test plan and then coordinate the testing of the application; after receiving test results, the application support engineer works with software engineers to develop any necessary upgrades for the application. After any appropriate upgrades are implemented, the applications support engineer oversees the installation of the application and performs any additional needed testing. The applications support engineer is also responsible for ensuring that the application appropriately interacts with any necessary database or servers. Aside from working on the application itself, the applications support engineer also writes technical documentation for users and other members of the application implementation team. Throughout this process, they must keep an open line of communications with the client. Additionally, the application support engineer may need to make a final report on the completion of the application. Applications support engineers usually hold a bachelor's degree in computer science or a related field. To perform the functions of the job, the applications support engineer must be an effective communicator with excellent troubleshooting, database, and information technology (IT) skills.  Read less"
Architect (Computer Software%2C Hardware),"A computer software/hardware architect is deeply involved in the development and design of new software or hardware.  They consider and analyze what the client or company wants and determine variables such as project cost, stability, and usability. Additionally, they generate reports on project progress, analysis, and testing to present to the client.  Architects may also be involved in the documentation of design specifications and installation instructions for a project.  Computer software/hardware architect may perform in a supervisory role, act as project leader, and/or participate as a team.  In a leadership role, architects need to establish project plans and goals, as well as provide in-depth knowledge and support to less experienced team members. As leaders, they must advise the client of the cost and feasibility of a project and exercise good decision-making skills. It is important for architects to stay on top of relevant technological advancements so they can continue to develop new software and/or hardware that meets or exceeds the expectations of the client. These professionals typically need postsecondary education that includes courses in business management, computer science or engineering, design, database management, and mathematics.  Typically, positions require at least a bachelor’s degree in a related field, and employers often may require a master’s degree.  A minimum of five years experience in a related field is required, while some positions ask for as much as 15 to 20 years. These positions may also require various levels of security clearance, including top secret.    Read less"
Associate Level and Layout Designer,
Associate Software Engineer,"Associate software engineers may work in developing software either as a product for use by the public or for private use within a business. While they tend to be on the lower or beginner rungs of their particular industry, companies in need of software engineers will often hire them due to the fact that they are more affordable than more senior software engineers. However, working as an associate software engineer is usually a stepping stone to higher positions and fulfilling careers in software engineering. Associate software engineers must be trained in reading and using different programming languages such as Java or C++. As lower level engineers, associate software engineers often work under software engineers and are involved in testing new software programs or making relatively small changes to preexisting programs. The initial design and creation of these programs is usually left to the engineers that are higher up on the department hierarchy.  They also usually work in an office setting (in a cubicle, conference room, etc.) and are generally part of a team of other associate software engineers. Tools for work are a computer and computer programs, telephone, pen and paper, code editors, and other normal office supplies. They usually work Monday through Friday from 9 a.m. to 5 p.m. Educational requirements for this position are usually a bachelor's degree in software engineering or computer science.  One to three years of experience in the field is a common requirement for associate software engineers as well.   Read less"
