Job,salary($),salary_type,Base Salary,Bonus,Total Pay,Profit Sharing,Commission,Hourly Rate
Data Manager,72587.0,year,$49k - $125k,$1k - $17k,$44k - $129k,$1k - $14k,,
Data Mining Analyst,77000.0,year,$54k - $95k,$0 - $2k,$35k - $103k,,,
Data Modeler,87366.0,year,$64k - $124k,$1k - $18k,$66k - $140k,$1k - $7k,,
Data Scientist,99271.0,year,$71k - $138k,$3k - $19k,$70k - $148k,$1k - $22k,$0 - $3k,
Data Scientist / Engineer,88128.0,year,$59k - $135k,$1k - $20k,$61k - $145k,,,
"Data Scientist, IT",72469.0,year,$58k - $147k,$5k - $15k,$43k - $150k,,,
Data Security Administrator,69634.0,year,$38k - $124k,$0 - $4k,$37k - $121k,,,
Data Security Analyst,70518.0,year,$47k - $105k,$1k - $10k,$46k - $107k,,,
Data Signal Processing (DSP)%2FFirmware Engineer,116000.0,year,$72k - $144k,$0 - $10k,$30k - $161k,,,
Data Warehouse Administrator,72375.0,year,$51k - $143k,,$29k - $103k,,,
Data Warehouse Analyst,83977.0,year,$53k - $131k,$2k - $10k,$52k - $142k,$2k - $8k,,
Data Warehouse Architect,124442.0,year,$78k - $154k,$300 - $24k,$79k - $170k,$0 - $6k,,
Data Warehouse Developer,87912.0,year,$60k - $123k,$2k - $14k,$61k - $131k,$0 - $1k,,
Data Warehouse Manager,129849.0,year,$98k - $171k,$5k - $19k,$101k - $175k,,,
Database Administration (DBA) Manager,110046.0,year,$56k - $154k,$3k - $24k,$45k - $161k,$5k - $15k,,
Database Administrator (DBA),77868.0,year,$50k - $115k,$526 - $10k,$44k - $116k,$355 - $11k,$1k - $17k,
Database Analyst,67173.0,year,$48k - $97k,$1k - $8k,$43k - $98k,$5k - $13k,,
Database Analyst%2FProgrammer,80597.0,year,$51k - $120k,$1k - $13k,$48k - $121k,$0 - $3k,,
Database Architect,121559.0,year,$81k - $175k,$535 - $20k,$79k - $181k,$2k - $10k,,
Database Coordinator,19.0,hour,,$102 - $1k,$34k - $54k,$0 - $3k,,$16 - $24
Database Design Administrator,80000.0,year,$50k - $100k,,$51k - $98k,,,
Database Developer,82899.0,year,$58k - $118k,$1k - $15k,$55k - $125k,$523 - $10k,,
Database Engineer,92940.0,year,$61k - $141k,$2k - $17k,$60k - $148k,$1k - $24k,,
Database Manager,61606.0,year,$41k - $124k,$242 - $17k,$39k - $120k,$2k - $3k,,
Delphi Developer / Programmer,57500.0,year,$0 - $58k,$0 - $6k,$0 - $62k,,,
Desktop Support Manager,81076.0,year,$59k - $119k,$2k - $15k,$54k - $124k,$662 - $11k,,
Desktop Support Specialist,23.0,hour,,$914 - $7k,$39k - $77k,$500 - $5k,,$17 - $33
Development Operations (DevOps) Engineer,103350.0,year,$70k - $148k,$2k - $19k,$70k - $156k,$1k - $20k,,
Development Operations (DevOps) Engineering Manager,130641.0,year,$59k - $200k,$10k - $17k,$60k - $201k,$0 - $10k,,
Development Operations (DevOps) Manager,125086.0,year,$79k - $169k,$2k - $30k,$79k - $184k,$1k - $8k,,
Development Operations Engineer,92500.0,year,$76k - $116k,,$77k - $127k,,,
Digital Producer,65506.0,year,$41k - $102k,$748 - $11k,$35k - $104k,$1k - $18k,,
Digital Strategist,66421.0,year,$45k - $110k,$993 - $20k,$45k - $116k,$496 - $29k,$429 - $34k,
"Director, Computer Operations",95000.0,year,$66k - $128k,$0 - $17k,$79k - $134k,$0 - $6k,,
"Director, Computing%2FNetworking%2FInformation Technology (IT) Security",152266.0,year,$102k - $192k,$5k - $38k,$107k - $219k,$3k - $20k,,
Director of Analytics,133127.0,year,$86k - $181k,$5k - $35k,$89k - $199k,$2k - $25k,$0 - $10k,
Director of Applications,141654.0,year,$97k - $189k,$4k - $35k,$98k - $205k,$2k - $15k,,
Director of Information Systems,106264.0,year,$71k - $158k,$2k - $25k,$70k - $172k,$2k - $30k,$0 - $19k,
Director of Information Technology Services,125455.0,year,$79k - $177k,$5k - $35k,$76k - $198k,$3k - $22k,$0 - $15k,
"Director of Program Management, Computer Software",160250.0,year,$100k - $221k,$10 - $41k,$103k - $250k,$0 - $13k,,
"Director of Program Management, Enterprise Technology Solutions",142446.0,year,$97k - $182k,$5k - $51k,$106k - $215k,$4k - $15k,,
"Director of Program Management, Information Technology (IT)",159271.0,year,$112k - $203k,$10k - $39k,$124k - $231k,$3k - $39k,,
Disaster Recovery Analyst,85000.0,year,$52k - $119k,$3k - $9k,$58k - $120k,,,
"Disaster Recovery Specialist, IT",81041.0,year,$39k - $128k,$0 - $3k,$40k - $128k,,,
Document Control Supervisor,70346.0,year,$50k - $100k,$489 - $18k,$48k - $100k,,,
Documentation Manager,86672.0,year,$55k - $117k,$642 - $14k,$53k - $119k,$0 - $2k,,
ERP Analyst,72774.0,year,$51k - $117k,$534 - $10k,$48k - $118k,$509 - $2k,,
ERP Business Analyst,75906.0,year,$61k - $114k,$700 - $10k,$61k - $115k,$0 - $4k,,
Electronic Data Interchange (EDI) Coordinator,55900.0,year,$43k - $78k,$391 - $8k,$36k - $72k,$765 - $4k,,
Electronic Data Interchange (EDI) Manager,91166.0,year,$63k - $131k,$1k - $15k,$61k - $136k,$0 - $2k,,
Electronic Data Interchange (EDI) Specialist,62225.0,year,$47k - $100k,$997 - $8k,$40k - $93k,$2k - $3k,,
Electronic Discovery Technician,49000.0,year,$42k - $80k,$0 - $6k,$44k - $82k,,,
Embedded Software Developer,80668.0,year,$65k - $126k,$3k - $13k,$65k - $127k,,,
Embedded Software Development Engineer,100796.0,year,$67k - $129k,$2k - $14k,$21k - $131k,$0 - $3k,,
Embedded Software Engineer,86533.0,year,$67k - $122k,$1k - $11k,$67k - $126k,$1k - $20k,,
Embedded Systems Engineer,83428.0,year,$65k - $118k,$1k - $10k,$64k - $118k,$993 - $10k,,
"Engineering Manager, Computer Software",132856.0,year,$89k - $180k,$2k - $30k,$89k - $199k,$5k - $27k,,
"Enterprise Architect, IT",143457.0,year,$102k - $180k,$4k - $32k,$103k - $204k,$2k - $29k,$6k - $69k,
Enterprise Messaging Systems Administrator,70000.0,year,$61k - $92k,,$62k - $91k,,,
Enterprise Resource Planning (ERP) Developer,87344.0,year,$63k - $126k,$1k - $14k,$49k - $127k,$3k - $4k,,
Ethical Hacker,85720.0,year,$58k - $119k,$12 - $15k,$55k - $131k,$2k - $53k,,
Executive - Network Management & IT Security,85500.0,year,$30k - $175k,$1k - $25k,$32k - $194k,,,
eCommerce Analyst,57475.0,year,$43k - $80k,$577 - $15k,$35k - $82k,$2k - $4k,,
eCommerce Manager,68473.0,year,$43k - $103k,$1k - $15k,$37k - $105k,$388 - $11k,$2k - $30k,
"Field Engineer, Telecommunications",27.0,hour,,$550 - $5k,$38k - $78k,,,$17 - $36
Firmware Engineer,89958.0,year,$70k - $132k,$1k - $13k,$70k - $140k,$983 - $20k,,
Fitness Director,48370.0,year,$27k - $73k,$171 - $25k,$29k - $80k,$2k - $5k,$1k - $34k,
Flash Developer,80000.0,year,$64k - $89k,,$38k - $88k,,,
Forensic Consultant,67363.0,year,$64k - $81k,$0 - $3k,$65k - $86k,,,
Front End Developer / Engineer,81885.0,year,$54k - $124k,$774 - $13k,$51k - $128k,$778 - $13k,,
Full Stack Software Developer,82965.0,year,$58k - $120k,$1k - $12k,$56k - $124k,$988 - $10k,,
Full Stack Software Engineer,95740.0,year,$69k - $136k,$1k - $16k,$69k - $143k,$1k - $49k,,
Functional Analyst,76414.0,year,$54k - $118k,$1k - $16k,$54k - $121k,$507 - $11k,,
Game Design Manager,91563.0,year,$74k - $117k,$0 - $3k,$75k - $136k,,,
Geographic Information Systems (GIS) Administrator,68166.0,year,$51k - $90k,,$45k - $86k,,,
Geographic Information Systems (GIS) Analyst,59447.0,year,$45k - $80k,$501 - $8k,$42k - $79k,$529 - $7k,$0 - $7k,
Geographic Information Systems (GIS) Coordinator,66303.0,year,$46k - $89k,$1k - $6k,$39k - $87k,,,
Geographic Information Systems (GIS) Developer,66000.0,year,$57k - $92k,$0 - $2k,$60k - $90k,,,
Geographic Information Systems (GIS) Intern,14.0,hour,,,$19k - $41k,,,$9 - $20
Geographic Information Systems (GIS) Mapper,22.0,hour,,,$26k - $93k,,,$12 - $44
Geographic Information Systems (GIS) Mapping Specialist,19.0,hour,,,$36k - $54k,,,$16 - $21
Geographic Information Systems (GIS) Programmer,71000.0,year,$0 - $71k,,$0 - $62k,,,
Geographic Information Systems (GIS) Programmer Analyst,64100.0,year,$0 - $64k,,$54k - $79k,,,
Geographic Information Systems (GIS) Software Engineer / Developer / Programmer,76302.0,year,$60k - $105k,$0 - $6k,$52k - $129k,,,
Geographic Information Systems (GIS) Specialist,59725.0,year,$44k - $81k,$403 - $8k,$42k - $80k,$111 - $4k,,
Geographic Information Systems (GIS) Supervisor,84627.0,year,$79k - $89k,,$56k - $88k,,,
Geographic Information Systems (GIS) Team Leader,56646.0,year,$0 - $57k,,$0 - $57k,,,
Geographic Information Systems (GIS) Technical Lead,50206.0,year,$0 - $50k,,$49k - $164k,,,
Geographic Information Systems (GIS) Technician,20.0,hour,,$242 - $4k,$35k - $60k,$122 - $4k,,$16 - $28
Geographic Information Systems (GIS) & Remote Sensing Data Analyst,63318.0,year,$50k - $85k,,$43k - $79k,,,
Geographic Information Systems (GIS) & Remote Sensing Specialist,56441.0,year,$47k - $61k,$0 - $2k,$47k - $62k,,,
Government Program Analyst,73997.0,year,$52k - $102k,$2k - $8k,$54k - $103k,,,
Graduate Software Engineer,74667.0,year,$60k - $108k,$5k - $9k,$54k - $113k,,,
Head of IT & Infrastructure,139049.0,year,$85k - $214k,$4k - $50k,$76k - $244k,$2k - $73k,,
Health Informatics Specialist,70626.0,year,$49k - $116k,$705 - $10k,$41k - $116k,$3k - $8k,,
Help Desk Administrator,54129.0,year,$40k - $69k,$204 - $5k,$37k - $69k,$546 - $2k,,
Help Desk Analyst,20.0,hour,,$296 - $5k,$32k - $61k,$1k - $9k,,$15 - $27
Help Desk Analyst (Computer),19.0,hour,,$416 - $6k,$32k - $65k,$0 - $500,,$15 - $29
Help Desk Assistant,17.0,hour,,,$28k - $50k,,,$11 - $24
Help Desk Associate,18.0,hour,,$204 - $5k,$30k - $56k,,,$14 - $26
Help Desk Consultant,45840.0,year,$38k - $56k,,$40k - $56k,,,
Help Desk Coordinator,20.0,hour,,$350 - $6k,$35k - $62k,$0 - $1k,,$16 - $29
Help Desk Engineer,48884.0,year,$37k - $68k,$99 - $5k,$35k - $66k,$0 - $3k,,
Help Desk Manager,68608.0,year,$50k - $96k,$506 - $9k,$48k - $98k,$2k - $6k,$0 - $7k,
"Help Desk Manager, IT",73088.0,year,$50k - $102k,$372 - $13k,$45k - $103k,$2k - $17k,$5k - $6k,
Help Desk Operator,16.0,hour,,,$24k - $40k,,,$11 - $21
Help Desk Representative,17.0,hour,,$346 - $5k,$27k - $49k,,,$13 - $25
Help Desk Specialist,20.0,hour,,$323 - $5k,$34k - $61k,$873 - $6k,,$15 - $28
"Help Desk Specialist, Internet",14.0,hour,,,$29k - $32k,,,$14 - $15
Help Desk Supervisor,64934.0,year,$49k - $84k,$976 - $9k,$42k - $84k,$839 - $23k,,
