jobs,description,loc,datePosted,workhours,salary,contract_type,experience,diploma,skills,qualifications,industry,company,size,company_description,tools,ID_dep,ville,date
Ingénieur développeur Big Data - DataOPs (H/F),"I.Mission du Groupe

Le groupe ISAC (Ingénierie des Système d Acquisition et de Contrôle) est en charge de l architecture globale des services de contrôle et acquisition évolués de SOLEIL, permettant l interconnexion de composants physiques ou virtuels en mettant en ?uvre des technologies de l'information et de la communication interopérables existantes ou innovantes.

L objectif principal du groupe est d acquérir, transporter et contribuer aux traitements des données pour en valoriser l information technique et scientifique.

Le groupe propose des services qui couvrent l ensemble du cycle d ingénierie : Spécification, conseil/support, développement/mise en ?uvre et maintien en condition opérationnelle (MCO) sur l infrastructure des services de contrôle et d acquisition nécessaires au contrôle-commande et à l acquisition des accélérateurs, lignes de lumière et systèmes de l infrastructure Soleil, en s attachant à mettre en ?uvre des standards industriels ou de facto standard de notre écosystème scientifique. 

Ses missions sont effectuées en liaison avec les utilisateurs techniques et scientifiques de SOLEIL ainsi que par des collaborations institutionnelles ou industrielles.

II.Missions 

Dans un contexte opérationnel et au c?ur de la stratégie de transformation numérique piloté par la DSSIQ, les principales missions seront les suivantes :

    Concevoir des modèles efficaces pour gérer différents types de flux de données ;
    Collecter le besoin des métiers, spécifier les études et concevoir des architectures qui répondent à ces besoins ;
    Mettre en ?uvre des flux d'acquisition et de transformation complexes ;
    Développer la plateforme de service (TANGO, Kafka) pour construire des modèles de données intelligents servant le traitement opérationnel et les équipes de traitement scientifique et data science ;
    Développer des outils pour aider l industrialisation des projets d'apprentissage automatique ;
    Travailler sur la qualité et la fiabilité des données pour garantir que nous fournissons des mesures fiables à l'ensemble des métiers ;
    Développer notre plateforme d intelligence opérationnelle pour la maintenance prédictive ;
    Rester informer, se former et former sur les nouvelles solutions DATA ;
    Ces travaux s effectuent en collaboration et en cohérence avec la stratégie informatique et en collaboration avec l équipe de scientifiques spécialisés dans les données.

Pour mener à bien sa mission, il/elle travaille, au sein de SOLEIL, en étroite collaboration avec les équipes ISI, ISG, GRADES et DSSIQ mais s appuie aussi sur l expérience des autres laboratoires et des collaboration ou projets nationaux ou internationaux, tout en s attachant à mettre en ?uvre des standards et produits industriels ou standards de notre environnement scientifique.",91 - ST AUBIN,Actualisé le 05 août 2023,40H Travail en journée,45000.0 - 55000.0,Contrat à durée indéterminée,Débutant accepté,Bac+5 et plus ou équivalents,"['Application web', 'Concevoir une application web', 'Déterminer des mesures correctives', 'Réaliser un diagnostic technique', 'Rédiger un cahier des charges, des spécifications techniques']",Cadre,Recherche-développement en autres sciences physiques et naturelles,SYNCHROTRON SOLEIL,250 à 499 salariés,,,91,ST AUBIN,2023/08/05
Ingénieur Data Intégration Sénior (H/F),"Minutieux et analyste de talent, diagnosticien efficace et autonome, vous déterminez les besoins des clients afin de lui apporter des solutions data performantes. Vous voulez prendre part au développement d'une activité stratégique au sein d'une entreprise qui conjugue au quotidien innovation et ambition. Rejoignez Hardis Group !   

 Chez Business Application Grenoble nous continuons de renforcer nos équipes pour consolider notre expertise Data !  
Dans le cadre de la croissance de son activité Services, Hardis Group recrute un Expert Data Intégration (H/F) avec de bonnes connaissance Talend pour renforcer ses équipes grenobloises.  
 
Vous développerez et mettrez en œuvre les solutions techniques de gestion des données et de l'intégration des flux du système d'information de nos clients, vous aurez en charge, les spécifications, la conception et l'implémentation de projets data. 

Vos missions seront de :   
- Analyser techniquement et fonctionnellement le besoin 
- Participer à la rédaction de spécifications techniques et aux procédures de livraison   
- Concevoir des procédures de transformation de données (maping)  
- Migrer et/ ou développer des flux de données de type ETL / ELT / ESB  
- Développer des tests applicatifs, définir et réaliser les procédures de tests techniques, de tests d'intégration et de recette de ces développements 
- Participer à la conception et mise en place de datawarehouse 
- Encadrer des développeurs juniors 
- Prendre en charge la maintenance évolutive et corrective en conditions opérationnelles   
- Mettre en place et faire respecter les normes de développement et d'architecture définies.


De formation bac+3 à 5, vous disposez d'une expérience similaire minimum de 5 à 7 ans.  
 
Compétences indispensables :  
- Vous disposez d'une expérience de 5 ans à 7ans minimum dans le développement de flux d'alimentation et de traitement de données 
- Maitrise d'une plateforme d'intégration de données : Talend serait un plus, sinon Informatica, Stambia, Datastage Server, Oracle Data Integrator (ODI), Tibco Jaspersoft, Azure Data Factory, Pentaho 
- Vous connaissez le langage SQL/PL-SQL et Java 
- Vous maitrisez les bases de données on-premise et/ou cloud 
- Vous disposez de véritables capacités relationnelle, rédactionnelles et analytiques.  
- Votre séniorité vous permet de saisir les enjeux Data.

Les plus :   
- Talend Enterprise Data Intégration 
- La maitrise de l'anglais professionnel. 

Votre autonomie et votre curiosité technique vous permettent de prendre en charge de nouveaux défis techniques et d'y apporter des solutions.  
 
Le sens de l'écoute et de la communication ainsi qu'une forte capacité d'adaptation sont nécessaires pour la tenue de ce poste. Enfin un esprit d'équipe sera indispensable pour nous convaincre d'intégrer Hardis.",38 - GRENOBLE,Actualisé le 04 août 2023,37H30 Travail en journée,,Contrat à durée indéterminée,5 ans,,"['Application web', 'Concevoir une application web', 'Déterminer des mesures correctives', 'Réaliser un diagnostic technique', 'Rédiger un cahier des charges, des spécifications techniques']",Cadre,Programmation informatique,HARDIS GROUPE,500 à 999 salariés,"""Hardis Group est une ESN, une entreprise de conseil et, est éditeur de logiciels basée à Grenoble, Lyon, Paris, Nantes, Bordeaux, Lille, Madrid, Genève et Utrecht. Plus qu'une équipe, Hardis Group c'est avant tout un collectif solide de plus de 1100 collaborateurs en croissance constante depuis 34 ans. Indépendante depuis sa création Hardis Group a réalisé un chiffre d'affaires 116,4 M en 2018. ""","talend, informatica, pentaho",38,GRENOBLE,2023/08/04
Expert Data (H/F),"Vous êtes un(e) Consultant(e) Data Confirmé(e) (environ 10 ans d'expérience) avec des compétences en intégration, traitement, stockage et visualisation et vous êtes à la recherche de nouveaux challenges ? Vous souhaitez contribuer au développement d'un pôle d'excellence Data en plein essor et vous souhaitez aider à construire, encadrer et dynamiser une équipe Data ? Cette offre est pour vous, il est temps pour vous de prendre une autre dimension avec Hardis.

Hardis Group poursuit sa croissance au sein de son activité Services et recrute un Consultant(e) Data (H/F) confirmé(e) en CDI temps plein rattaché(e) à son agence de Grenoble (centaines de personnes, dont une quinzaine au sein du pôle data). 

En lien direct avec le Manager Data, vous participerez à la stratégie Data de la BU. Votre mission sera principalement d'assurer : 
- Audit projet Data, 
- Elaboration d'une stratégie projet chez le client, 
- Conseil sur la chaine décisionnelle, 
- Gestion projet Data, 
- Avant Ventes (stratégie, chiffrage, soutenance) pour Hardis, 
- Veille technologique générale sur la Data 
- Encadrement RH et technique d'une partie de l'équipe 
- Gestion de la relation client en direct accompagné(e) ou non d'un(e) commercial(e).  

Les missions se font chez des clients de la région Rhône Alpes (Savoie, Haute-Savoie, Isère, Rhône) avec des profils très diversifiés que ce soient ETI ou grands comptes et de tous les horizons métiers.   

Le poste s'articule autour de 3 grands domaines d'activité :  
-Conseil projet data (80%) : Accompagnement des clients dans la réalisation de leur projet Data Audit, Cahier des charges, recueil de besoin, feuille de route d'un programme ou d'un projet, supervision de la conception, bonnes pratiques, stratégie de recette 
- Encadrement d'une partie de l'équipe (10%) : suivi RH, Entretien, plan de formation, suivi de montée en compétence, recrutement 
- Accompagnement interne (10%) : Assistance du Manager sur la mise en place de stratégie de la practice, Veille technologique, Avant-vente, accompagnement du commerce en entretien client.


Vous avez une formation Bac+5 d'ingénieur informatique ou équivalent, vous êtes un véritable technophile et aimez trouver des solutions aux problématiques complexes autour de la Data. Vous bénéficiez d'au moins 10 ans d'expérience sur les sujets BI, Big Data ou Data Gouvernance et ces derniers sont vos principaux centres d'intérêt professionnels.  

Vous avez déjà développé sur des outils de la chaine data (ETL, ESB, Dataviz), Vous parlez l'anglais professionnel et vous avez de bonnes capacités d'analyse et de synthèse.  
Rejoignez une équipe dynamique, sérieuse, volontaire en plein essor et participez au développement du Plan Data Hardis 2025 qui donne une dimension nationale à la practice.",38 - GRENOBLE,Actualisé le 04 août 2023,37H30 Travail en journée,,Contrat à durée indéterminée,10 ans,,"['Adapter les outils de traitement statistique de données', ""Définir et faire évoluer des procédés de traitement de l'information"", 'Présenter et diffuser les résultats des études réalisées', 'Réaliser une étude', ""Rédiger l'information produite""]",Cadre,Programmation informatique,HARDIS GROUPE,500 à 999 salariés,"""Hardis Group est une ESN, une entreprise de conseil et, est éditeur de logiciels basée à Grenoble, Lyon, Paris, Nantes, Bordeaux, Lille, Madrid, Genève et Utrecht. Plus qu'une équipe, Hardis Group c'est avant tout un collectif solide de plus de 1100 collaborateurs en croissance constante depuis 34 ans. Indépendante depuis sa création Hardis Group a réalisé un chiffre d'affaires 116,4 M en 2018. """,,38,GRENOBLE,2023/08/04
Technicien / Technicienne data center (H/F),"METALINE c'est 35 ans d'expérience dédiés au service client et à l'accompagnement de l'utilisateur.
Le groupe est actif dans les domaines de l'infogérance Digital Workplace, Data Center et des Télécoms.
Acteur incontournable des Services Managés, METALINE assure le maintien en conditions opérationnel de l'infrastructure des systèmes d'Information.

Les secteurs d'activités de nos clients sont variés : banque & assurance, industrie automobile, pharmaceutique, transport, éditions....
Le groupe compte plus de 850 collaborateurs répartis sur toute la France et est en pleine croissance avec un objectif de 1000 collaborateurs d'ici fin 2023.

METALINE est également l'Editeur de la Chaine logicielle QUALIPARC.net

Pour un de nos clients basé à Elancourt 78, nous recherchons un Technicien / Technicienne Data center.

Vos missions :
Installer le matériel et les équipements dans les salles du datacenter
Réaliser le câblage
Veiller au bon fonctionnement des équipements, à l'accessibilité et la sécurité des données
Assurer la maintenance et résoudre les incidents",78 - ELANCOURT,Actualisé le 07 août 2023,35H Travail en journée,22000.0 - 25000.0,Contrat à durée indéterminée,Débutant accepté,,"['Assembler des matériaux, des produits', 'Connecter une boîte de raccordements', ""Installer l'équipement sur le site et le connecter aux réseaux extérieurs"", ""Préparer du matériel en prévision d'un travail""]",Technicien,Conseil en systèmes et logiciels informatiques,META-LOGIC,100 à 199 salariés,,,78,ELANCOURT,2023/08/07
Data Scientist NLP - IA - LLM (H/F),"Également connu sous le nom d'""Automate Automation"", ce poste se trouve dans l'équipe d'ingénierie produit et en étroite collaboration avec le CTO/CPO et l'équipe d'ingénierie pour initier, construire, exécuter et soutenir notre feuille de route de recherche en IA autour du domaine du traitement du langage naturel (NLP).

Objectif principal : piloter et exécuter notre sujet de recherche sur l'IA

Explorez les capacités de l'IA à travers de grands modèles de langage (LLM): famille GPT, Bert-like, Transformers,  

Prospecter le domaine des assistants IA, dans le cadre de la création de workflow d'automatisation

Et une étape plus loin : étudier l'aptitude des agents LLM autonomes dans le processus de décision de la création d'un tel flux de travail.

Autres objectifs :

Identifier et proposer des brevets

Référent IA pour l'équipe Customer Success

Contribution à la feuille de route du produit Mindflow AI

Explorer de nouvelles idées, expérimenter, prototyper

Étude pour étendre les capacités de Mindflow pour la préparation, l'exploitation et la visualisation des données à l'ère de l'IA

Vous rejoignez l'équipe d'ingénierie composée de 15 développeurs et d'un data scientist (déjà focalisé sur le projet IA).

Profil recherché

- Plates-formes appliquées de science, de préparation et de traitement des données d'IA à l'automatisation d'entreprise dans les grandes entreprises et les mises à l'échelle (obligatoire)
- Exploration de l'écosystème mondial des API et des opportunités d'IA (obligatoire)
- Technologies cloud et AWS (obligatoire)
- Vous êtes PH.d
-Votre thèse a porté sur un sujet de LLM

Déroulement des entretiens
Appel d'introduction (30 min)

Chef d'équipe d'appel (45 min)

Etude de cas : programmation en binôme

Appel fondateur (30 min)

Découverte d'équipe : venez à un quotidien ou appelez un futur collègue",75 - PARIS 08,Actualisé le 07 août 2023,39H Travail en journée,50000.0 - 55000.0,Contrat à durée indéterminée,Débutant accepté,Bac+5 et plus ou équivalents,"['Adapter les outils de traitement statistique de données', ""Définir et faire évoluer des procédés de traitement de l'information"", 'Présenter et diffuser les résultats des études réalisées']",Cadre,Programmation informatique,MINDFLOW,0 salarié (n'ayant pas d'effectif au 31/12 mais ayant employé des salariés au cours de l'année de référence),"Mindflow is the emerging no-code building platform to automate cybersecurity operations, helping analysts to deliver high value expertise.",,75,PARIS 08,2023/08/07
Data scientist,"Description de l'entreprise : 
Excellence Logging est une société de services du secteur énergétique qui fournit des analyses techniquement avancées dans l'évaluation des formations géologiques souterraines et la surveillance des forages (pour la sécurité des biens et des personnes), et réalise des interventions d'appoint sur les puits pour le compte de nos clients. 
Notre priorité est d'aider nos clients à forer de manière sure et efficace en leur fournissant des données sur les performances de leur forage et des informations importantes concernant la lithologie et les fluides de formation. 
Basé en France à Colombes (92), le département NPD (New Product Development) - capteurs et mesures conçoit et teste des instruments de mesures adaptés aux conditions extrêmes des plateformes de forage ainsi que les algorithmes de traitement appropriés. 

Description du poste:
Nous recherchons une personne ouverte d'esprit, dynamique et capable de sortir des sentiers battus. Vous devez savoir vous organiser et remplir vos objectifs en toute autonomie, en respectant le cahier des charges technique, les coûts et délais. Vous devrez faire preuve de curiosité et être capable de travailler en dehors de votre zone de confort. 
Une attitude positive et un bon état d'esprit sont des qualités indispensables pour réussir à ce poste. 
Le projet qui occupera les sept mois de ce poste se concentre sur la conception et l'implémentation d'algorithmes d'analyse d'images géologiques'à l'aide de processus déterministes et d'intelligence artificielle. 
Vous devrez écrire ces algorithmes, les tester, améliorer leurs performances pour qu'ils soient applicables à toutes les images de notre bibliothèque, puis les transcrire dans un langage compilé qui permet de les intégrer dans nos produits. 
Le travail comprend aussi une large part de collaboration avec le reste de l'équipe de R&D pour  déterminer les meilleures méthodes à appliquer à nos données, nous conseiller sur l'acquisition de nouvelles données (quoi, combien, comment), déterminer comment effectuer la transcription des algorithmes.  
Vous aurez l'opportunité de découvrir le domaine énergétique et les dernières actualités concernant les transitions en cours.

Les Compétences Requises Pour Ce Poste: 
Formation d'ingénieur bac+5 minimum (Masters), avec spécialité d'IA et de traitement d'images : réseaux convolutifs, transfert d'apprentissage et apprentissage par renforcement, réseaux récurrents, réseaux antagonistes génératifs, gestion du bruit,  . 
- Expérience de calcul de la région de stabilité d'un système non linéaire sous contraintes. 
- Solides bases en automatique et en résolution de problèmes inverses, logique floue. 
- Connaissances de base en géologie et sciences de la Terre. 
- Notions d'optique et de sciences de l'ingénieur. 
- Maitrise des outils informatiques et du pack Office et/ou LaTeX 
- Outils de développement : Matlab et Python, Pytorch, Delphi ou C++/C#, SQL 
- Bibliothèques de traitement d'image (OpenCV) 
- Connaissance des outils d'accélération du calcul (CUDA,  ) appréciée. 
- Bonne capacité d'analyses et de résolutions de problèmes pratiques 
- Capacité à s'organiser et à planifier ses taches 
- Créativité et esprit d'équipe 
- Capable de travailler de façon autonome 
- Communication en anglais oral et écrit : niveau professionnel

Poste en présentiel - travail à distance seulement avec autorisation préalable.",92 - COLOMBES,Actualisé le 07 août 2023,39H Travail en journée,28000.0,Contrat à durée déterminée - 7 Mois,Débutant accepté,,"['Adapter les outils de traitement statistique de données', ""Définir et faire évoluer des procédés de traitement de l'information"", 'Langages de programmation informatique', 'Présenter et diffuser les résultats des études réalisées', 'Réaliser une veille documentaire', ""Rédiger l'information produite""]",Cadre,"Ingénierie, études techniques",EXCELLENCE LOGGING FRANCE,10 à 19 salariés,"Excellence Logging est une société de services aux secteurs de l'énergie qui fournit des analyses techniquement avancées des formations géologiques souterraines, opère la surveillance de forages (pour la sécurité des biens et des personnes) et réalise des interventions d'appoint sur les puits pour le compte de ses clients.",pytorch,92,COLOMBES,2023/08/07
Consultant DATA           (H/F),"Au sein de notre site,  intégré(e) dans une équipe projet, vous mettez en œuvre des solutions d'aide à la décision permettant d'améliorer le pilotage stratégique et opérationnel de nos clients et de valoriser leurs données.

Vos missions sont les suivantes :

Instruire les besoins client : recueil et compréhension
Concevoir les solutions techniques et fonctionnelles sous forme de spécifications
Accompagner les utilisateurs dans le maquettage de leurs tableaux de bord
Gérer la priorisation, la planification et le suivi des charges
Assurer le lien entre les besoins métiers et l'équipe de développement
Rédiger les cahiers de recettes applicatives
Assurer la coordination et le suivi de la recette fonctionnelle 
Dispenser un support aux métiers
Qualifications
Depuis au moins 3 ans, vous mettez en pratique vos acquis et compétences en tant que Data Analyst.

Outre votre expérience, c'est une personnalité qui est aussi recherchée !

Informations complémentaires
Ce que nous vous proposons :

Une carrière dans un environnement multiculturel, dynamique et formateur,
Une réelle possibilité de télétravail,
Un appui et un suivi régulier d'un manager sénior dans le métier,
Des formations et les certifications associées au parcours de carrière choisi 
Des possibilités d'activités complémentaires (avant-vente, formation, conseil, expertise, montage d'offre, POC..),
Des événements festifs,
Une intégration au sein d'une communautés d'experts passionnés
Pour aller plus loin : https://fr.blog.businessdecision.com/

Vous êtes partant pour vivre l'aventure ? Postulez dès maintenant en nous envoyant votre CV.

Tous nos postes sont accessibles, à compétences égales, aux travailleurs en situation de handicap.",79 - NIORT,Actualisé le 07 août 2023,37H Travail en journée,33000.0 - 40000.0,Contrat à durée indéterminée,Débutant accepté,,"['Adapter les outils de traitement statistique de données', ""Définir et faire évoluer des procédés de traitement de l'information"", 'Présenter et diffuser les résultats des études réalisées', 'Réaliser une étude', ""Rédiger l'information produite""]",Cadre,Conseil en systèmes et logiciels informatiques,ORANGE BUSINESS SERVICES,"Depuis 30 ans, Business & Decision s'est imposé comme un partenaire stratégique pour la transformation digitale de nombreux clients, dans des secteurs très variés.
Plus que par son côté précurseur en Data expérience et ses expertises reconnues dans le digital, sa force repose sur ses 2 500 collaborateurs. Tous sont animés par la même passion pour l'innovation technologique, les projets qui stimulent leur créativité et l'envie de repousser les limites du futur.","Depuis 30 ans, Business & Decision s'est imposé comme un partenaire stratégique pour la transformation digitale de nombreux clients, dans des secteurs très variés.Plus que par son côté précurseur en Data expérience et ses expertises reconnues dans le digital, sa force repose sur ses 2 500 collaborateurs. Tous sont animés par la même passion pour l'innovation technologique, les projets qui stimulent leur créativité et l'envie de repousser les limites du futur.",tableau,79,NIORT,2023/08/07
Consultant DATA           (H/F),"Au sein de notre site,  intégré(e) dans une équipe projet, vous mettez en œuvre des solutions d'aide à la décision permettant d'améliorer le pilotage stratégique et opérationnel de nos clients et de valoriser leurs données.

Vos missions sont les suivantes :

Instruire les besoins client : recueil et compréhension
Concevoir les solutions techniques et fonctionnelles sous forme de spécifications
Accompagner les utilisateurs dans le maquettage de leurs tableaux de bord
Gérer la priorisation, la planification et le suivi des charges
Assurer le lien entre les besoins métiers et l'équipe de développement
Rédiger les cahiers de recettes applicatives
Assurer la coordination et le suivi de la recette fonctionnelle 
Dispenser un support aux métiers
Qualifications
Depuis au moins 3 ans, vous mettez en pratique vos acquis et compétences en tant que Data Analyst.

Outre votre expérience, c'est une personnalité qui est aussi recherchée !

Informations complémentaires
Ce que nous vous proposons :

Une carrière dans un environnement multiculturel, dynamique et formateur,
Une réelle possibilité de télétravail,
Un appui et un suivi régulier d'un manager sénior dans le métier,
Des formations et les certifications associées au parcours de carrière choisi 
Des possibilités d'activités complémentaires (avant-vente, formation, conseil, expertise, montage d'offre, POC..),
Des événements festifs,
Une intégration au sein d'une communautés d'experts passionnés
Pour aller plus loin : https://fr.blog.businessdecision.com/

Vous êtes partant pour vivre l'aventure ? Postulez dès maintenant en nous envoyant votre CV.

Tous nos postes sont accessibles, à compétences égales, aux travailleurs en situation de handicap.",35 - RENNES,Actualisé le 07 août 2023,37H Travail en journée,33000.0 - 40000.0,Contrat à durée indéterminée,Débutant accepté,,"['Adapter les outils de traitement statistique de données', ""Définir et faire évoluer des procédés de traitement de l'information"", 'Présenter et diffuser les résultats des études réalisées', 'Réaliser une étude', ""Rédiger l'information produite""]",Cadre,Conseil en systèmes et logiciels informatiques,ORANGE BUSINESS SERVICES,"Depuis 30 ans, Business & Decision s'est imposé comme un partenaire stratégique pour la transformation digitale de nombreux clients, dans des secteurs très variés.
Plus que par son côté précurseur en Data expérience et ses expertises reconnues dans le digital, sa force repose sur ses 2 500 collaborateurs. Tous sont animés par la même passion pour l'innovation technologique, les projets qui stimulent leur créativité et l'envie de repousser les limites du futur.","Depuis 30 ans, Business & Decision s'est imposé comme un partenaire stratégique pour la transformation digitale de nombreux clients, dans des secteurs très variés.Plus que par son côté précurseur en Data expérience et ses expertises reconnues dans le digital, sa force repose sur ses 2 500 collaborateurs. Tous sont animés par la même passion pour l'innovation technologique, les projets qui stimulent leur créativité et l'envie de repousser les limites du futur.",tableau,35,RENNES,2023/08/07
Consultant DATA           (H/F),"Au sein de notre site,  intégré(e) dans une équipe projet, vous mettez en œuvre des solutions d'aide à la décision permettant d'améliorer le pilotage stratégique et opérationnel de nos clients et de valoriser leurs données.

Vos missions sont les suivantes :

Instruire les besoins client : recueil et compréhension
Concevoir les solutions techniques et fonctionnelles sous forme de spécifications
Accompagner les utilisateurs dans le maquettage de leurs tableaux de bord
Gérer la priorisation, la planification et le suivi des charges
Assurer le lien entre les besoins métiers et l'équipe de développement
Rédiger les cahiers de recettes applicatives
Assurer la coordination et le suivi de la recette fonctionnelle 
Dispenser un support aux métiers
Qualifications
Depuis au moins 3 ans, vous mettez en pratique vos acquis et compétences en tant que Data Analyst.

Outre votre expérience, c'est une personnalité qui est aussi recherchée !

Informations complémentaires
Ce que nous vous proposons :

Une carrière dans un environnement multiculturel, dynamique et formateur,
Une réelle possibilité de télétravail,
Un appui et un suivi régulier d'un manager sénior dans le métier,
Des formations et les certifications associées au parcours de carrière choisi 
Des possibilités d'activités complémentaires (avant-vente, formation, conseil, expertise, montage d'offre, POC..),
Des événements festifs,
Une intégration au sein d'une communautés d'experts passionnés
Pour aller plus loin : https://fr.blog.businessdecision.com/

Vous êtes partant pour vivre l'aventure ? Postulez dès maintenant en nous envoyant votre CV.

Tous nos postes sont accessibles, à compétences égales, aux travailleurs en situation de handicap.",44 - NANTES,Actualisé le 07 août 2023,37H Travail en journée,33000.0 - 40000.0,Contrat à durée indéterminée,Débutant accepté,,"['Adapter les outils de traitement statistique de données', ""Définir et faire évoluer des procédés de traitement de l'information"", 'Présenter et diffuser les résultats des études réalisées', 'Réaliser une étude', ""Rédiger l'information produite""]",Cadre,Conseil en systèmes et logiciels informatiques,ORANGE BUSINESS SERVICES,"Depuis 30 ans, Business & Decision s'est imposé comme un partenaire stratégique pour la transformation digitale de nombreux clients, dans des secteurs très variés.
Plus que par son côté précurseur en Data expérience et ses expertises reconnues dans le digital, sa force repose sur ses 2 500 collaborateurs. Tous sont animés par la même passion pour l'innovation technologique, les projets qui stimulent leur créativité et l'envie de repousser les limites du futur.","Depuis 30 ans, Business & Decision s'est imposé comme un partenaire stratégique pour la transformation digitale de nombreux clients, dans des secteurs très variés.Plus que par son côté précurseur en Data expérience et ses expertises reconnues dans le digital, sa force repose sur ses 2 500 collaborateurs. Tous sont animés par la même passion pour l'innovation technologique, les projets qui stimulent leur créativité et l'envie de repousser les limites du futur.",tableau,44,NANTES,2023/08/07
Data Engineer - H/F - CDI (H/F),"Vos missions

Intégré(e) au sein de l'équipe Data, vous intervenez notamment sur : 

- Le développement, déploiement et maintenance de pipelines d'ETL/ELT
- La mise en place d'APIs et de backends applicatifs
- La définition et mise en place de modèles de données, administration de base de données
- L'utilisation de plateformes et outils Cloud
- La compréhension et application de principes d'architecture
- La supervision et monitoring d'applications

Entouré(e) de nos experts, vous montez rapidement en compétence et participez au développement de nouveaux produits innovants dans le cadre de notre Datalab.

En fonction de vos appétences, vous aurez également la possibilité de vous impliquer sur des sujets transversaux pour accompagner notre croissance : recrutement, réponses aux AOs, organisation d'événements, chantiers internes (RSE ) etc.


Principales technologies à utiliser ou à découvrir

- Langages : Python, SQL, DBT, Spark
- Bases de données : PostgreSQL, base de données NoSQL (MongoDB, ELK )
- Orchestration : Airflow, Luigi
- DevOps : Git, CI/CD, Docker, Kubernetes/Nomad, Ansible 
- Outils Cloud : AWS, GCP, Azure, Snowflake, Databricks 
- Autres : Kafka

Votre profil

Issu(e) d'une école d'ingénieurs ou d'une école spécialisée en développement informatique, vous possédez minimum 2 années d'expérience en Data Engineering et maîtrisez Python et SQL. Une expérience ou une formation spécifique (ex : Udemy) avec le calcul distribué, le traitement des données temps réel ou les bases de données NoSQL est un plus. Avoir déjà travaillé avec un ou plusieurs fournisseurs de cloud (AWS, GCP, Azure notamment) est également apprécié.

Nous recherchons avant tout de futur(e)s collègues avec qui nous prendrons plaisir à travailler chaque jour. 

Alors, si comme nous vous possédez : 
- Une curiosité naturelle pour le monde du numérique 
- Un goût pour le challenge
- Une envie de progresser et d'apprendre 
- Un esprit d'équipe à toute épreuve
- Une réelle volonté de transmettre vos connaissances et d'aider les autres
- Une très bonne maîtrise de la langue française 
 n'hésitez pas à nous envoyer votre candidature !",75 - PARIS 09,Actualisé le 05 août 2023,39H Travail en journée,36000.0 - 45000.0,Contrat à durée indéterminée,1 an,,[],Cadre,Conseil pour les affaires et autres conseils de gestion,POLYCONSEIL,100 à 199 salariés,"Expert de la transformation numérique, Polyconseil conçoit des solutions innovantes sur-mesure pour un large panel de clients, quel que soit leur secteur d activité. Du cadrage stratégique à la conception opérationnelle et au déploiement, notre approche bout-en-bout nous permet d'avoir une vue d'ensemble du projet et d'en maîtriser chaque étape. Nous réunissons des Développeurs, Consultants / Chefs de projets, Data Scientists et DevOps au sein d équipes multidisciplinaires de haut niveau.","docker, kubernetes, databricks, snowflake, postgresql, mongodb, luigi",75,PARIS 09,2023/08/05
Data Scientist - H/F - CDI (H/F),"Votre mission

Intégré(e) au sein de l'équipe Data, vous participerez à toutes les phases de nos missions clients : cadrage des besoins, data management, modélisation (choix et tests des algorithmes les plus pertinents), implémentation et déploiement des solutions retenues.

Entouré(e) de nos experts, vous monterez rapidement en compétence sur les technologies suivantes : Python (Scikit-learn, pandas, ...), MongoDB, ElasticSearch   et participerez au développement de nouveaux produits innovants dans le cadre de notre Datalab.

Quelques exemples de missions :

- Stratégie ""anti-churn"" d'un grand média français et mise en œuvre des solutions techniques pour retenir ses clients
- Développement et commercialisation en SaaS d'un système de gestion intelligente de la politique de stationnement pour une centaine de villes en France
- Solution d'optimisation du pricing des produits vendus via une plateforme de ventes aux enchères en ligne
- Maximisation du taux d'ouverture de mails pour les clients d'une start-up spécialiste de l'e-mailing en Saas
- Algorithmes de détection de fraude auprès d'assureurs

Votre profil

Issu(e) d'une Grande école d'ingénieurs, vous justifiez d'une première expérience professionnelle sur des problématiques data (stage ou premier emploi). Passionné(e) par les nouvelles technologies et friand de code, vous êtes familier avec un langage de programmation à vocation analytique (Python, R, Scala ...). Une expérience en développement logiciel est un plus. Avoir suivi un MOOC (ex : Udemy) spécialisé en Big data est également apprécié. 

Enfin, vous êtes conscient que la modélisation ne représente que 10 à 15% maximum du temps passé sur nos projets et ne sera pas au cœur de vos missions. 

A votre arrivée, vous bénéficiez d'un parcours guidé de formation propre à l'équipe Data. Nous finançons entre autres des formations AWS. Via notre PolyAcademy, nous vous donnons également accès à un large panel de formations, aussi bien techniques que business, en vue de faciliter votre montée en compétences et de créer des ponts entre nos différents métiers.

La maîtrise de la langue française à l'écrit et à l'oral est indispensable",75 - PARIS 09,Actualisé le 07 août 2023,39H Travail en journée,36000.0 - 45000.0,Contrat à durée indéterminée,1 an,,[],Cadre,Conseil pour les affaires et autres conseils de gestion,POLYCONSEIL,100 à 199 salariés,"Expert de la transformation numérique, Polyconseil conçoit des solutions innovantes sur-mesure pour un large panel de clients, quel que soit leur secteur d activité. Du cadrage stratégique à la conception opérationnelle et au déploiement, notre approche bout-en-bout nous permet d'avoir une vue d'ensemble du projet et d'en maîtriser chaque étape. Nous réunissons des Développeurs, Consultants / Chefs de projets, Data Scientists et DevOps au sein d équipes multidisciplinaires de haut niveau.","elasticsearch, mongodb, scikit-learn",75,PARIS 09,2023/08/07
